qpu_sampling_time
217.700 ms
qpu_anneal_time_per_sample
20 µs
qpu_readout_time_per_sample
177 µs
qpu_access_time
233.462 ms
qpu_access_overhead_time
7.964 ms
qpu_programming_time
15.762 ms
qpu_delay_time_per_sample
21 µs
total_post_processing_time
5.255 ms
post_processing_overhead_time
280 µs
5760 9336
3905 3905 0
3906 3906 0
3907 3907 0
3919 3919 0
3920 3920 0
3921 3921 0
3934 3934 0
3935 3935 0
3936 3936 0
3937 3937 0
3950 3950 0
3951 3951 0
3952 3952 0
3953 3953 0
3965 3965 0
3966 3966 0
3967 3967 0
3979 3979 0
3980 3980 0
3993 3993 0
3994 3994 0
3995 3995 0
3996 3996 0
3997 3997 0
3998 3998 0
4009 4009 0
4010 4010 0
4011 4011 0
4025 4025 0
4026 4026 0
4027 4027 0
4028 4028 0
4039 4039 0
4040 4040 0
4041 4041 0
4042 4042 0
4043 4043 0
4044 4044 0
4053 4053 0
4054 4054 0
4055 4055 0
4056 4056 0
4057 4057 0
4058 4058 0
4059 4059 0
4069 4069 0
4071 4071 0
4072 4072 0
4073 4073 0
4074 4074 0
4083 4083 0
4084 4084 0
4085 4085 0
4086 4086 0
4088 4088 0
4097 4097 0
4098 4098 0
4099 4099 0
4100 4100 0
4101 4101 0
4102 4102 0
4103 4103 0
4104 4104 0
4111 4111 0
4112 4112 0
4113 4113 0
4114 4114 0
4115 4115 0
4116 4116 0
4117 4117 0
4118 4118 0
4119 4119 0
4120 4120 0
4127 4127 0
4128 4128 0
4129 4129 0
4130 4130 0
4131 4131 0
4132 4132 0
4133 4133 0
4142 4142 0
4143 4143 0
4144 4144 0
4145 4145 0
4146 4146 0
4147 4147 0
4148 4148 0
4149 4149 0
4150 4150 0
4158 4158 0
4159 4159 0
4160 4160 0
4161 4161 0
4162 4162 0
4163 4163 0
4164 4164 0
4165 4165 0
4172 4172 0
4173 4173 0
4174 4174 0
4175 4175 0
4176 4176 0
4177 4177 0
4178 4178 0
4179 4179 0
4180 4180 0
4187 4187 0
4188 4188 0
4189 4189 0
4190 4190 0
4191 4191 0
4192 4192 0
4193 4193 0
4194 4194 0
4195 4195 0
4202 4202 0
4203 4203 0
4204 4204 0
4205 4205 0
4206 4206 0
4207 4207 0
4208 4208 0
4209 4209 0
4210 4210 0
4211 4211 0
4218 4218 0
4219 4219 0
4220 4220 0
4221 4221 0
4222 4222 0
4223 4223 0
4224 4224 0
4232 4232 0
4233 4233 0
4234 4234 0
4235 4235 0
4236 4236 0
4237 4237 0
4238 4238 0
4239 4239 0
4240 4240 0
4247 4247 0
4248 4248 0
4249 4249 0
4250 4250 0
4251 4251 0
4252 4252 0
4253 4253 0
4254 4254 0
4255 4255 0
4261 4261 0
4262 4262 0
4263 4263 0
4264 4264 0
4265 4265 0
4266 4266 0
4267 4267 0
4268 4268 0
4269 4269 0
4270 4270 0
4276 4276 0
4277 4277 0
4278 4278 0
4279 4279 0
4280 4280 0
4281 4281 0
4282 4282 0
4283 4283 0
4284 4284 0
4285 4285 0
4291 4291 0
4292 4292 0
4293 4293 0
4294 4294 0
4295 4295 0
4296 4296 0
4297 4297 0
4298 4298 0
4299 4299 0
4300 4300 0
4306 4306 0
4307 4307 0
4308 4308 0
4309 4309 0
4310 4310 0
4311 4311 0
4312 4312 0
4313 4313 0
4314 4314 0
4315 4315 0
4321 4321 0
4322 4322 0
4323 4323 0
4324 4324 0
4325 4325 0
4326 4326 0
4327 4327 0
4328 4328 0
4329 4329 0
4330 4330 0
4337 4337 0
4338 4338 0
4339 4339 0
4340 4340 0
4341 4341 0
4342 4342 0
4343 4343 0
4344 4344 0
4345 4345 0
4352 4352 0
4353 4353 0
4354 4354 0
4355 4355 0
4356 4356 0
4357 4357 0
4358 4358 0
4359 4359 0
4360 4360 0
4367 4367 0
4368 4368 0
4369 4369 0
4370 4370 0
4371 4371 0
4372 4372 0
4373 4373 0
4374 4374 0
4375 4375 0
4382 4382 0
4383 4383 0
4384 4384 0
4385 4385 0
4386 4386 0
4387 4387 0
4388 4388 0
4389 4389 0
4390 4390 0
4396 4396 0
4397 4397 0
4398 4398 0
4399 4399 0
4400 4400 0
4401 4401 0
4402 4402 0
4403 4403 0
4404 4404 0
4405 4405 0
4413 4413 0
4414 4414 0
4415 4415 0
4416 4416 0
4417 4417 0
4418 4418 0
4419 4419 0
4420 4420 0
4427 4427 0
4428 4428 0
4429 4429 0
4430 4430 0
4431 4431 0
4432 4432 0
4433 4433 0
4434 4434 0
4435 4435 0
4442 4442 0
4443 4443 0
4444 4444 0
4445 4445 0
4446 4446 0
4447 4447 0
4448 4448 0
4449 4449 0
4450 4450 0
4457 4457 0
4458 4458 0
4459 4459 0
4460 4460 0
4461 4461 0
4462 4462 0
4463 4463 0
4464 4464 0
4472 4472 0
4473 4473 0
4474 4474 0
4475 4475 0
4476 4476 0
4477 4477 0
4478 4478 0
4479 4479 0
4487 4487 0
4488 4488 0
4489 4489 0
4490 4490 0
4491 4491 0
4492 4492 0
4493 4493 0
4494 4494 0
4502 4502 0
4503 4503 0
4504 4504 0
4505 4505 0
4506 4506 0
4507 4507 0
4508 4508 0
4509 4509 0
4517 4517 0
4518 4518 0
4519 4519 0
4520 4520 0
4521 4521 0
4522 4522 0
4523 4523 0
4532 4532 0
4533 4533 0
4534 4534 0
4535 4535 0
4536 4536 0
4537 4537 0
4538 4538 0
4539 4539 0
4548 4548 0
4549 4549 0
4550 4550 0
4551 4551 0
4552 4552 0
4553 4553 0
4554 4554 0
4563 4563 0
4564 4564 0
4565 4565 0
4566 4566 0
4567 4567 0
4568 4568 0
4578 4578 0
4579 4579 0
4580 4580 0
4581 4581 0
4582 4582 0
4583 4583 0
4584 4584 0
4593 4593 0
4594 4594 0
4595 4595 0
4596 4596 0
4597 4597 0
4598 4598 0
4599 4599 0
4608 4608 0
4609 4609 0
4610 4610 0
4611 4611 0
4612 4612 0
4613 4613 0
4614 4614 0
4622 4622 0
4623 4623 0
4624 4624 0
4625 4625 0
4626 4626 0
4627 4627 0
4628 4628 0
4629 4629 0
4638 4638 0
4639 4639 0
4640 4640 0
4641 4641 0
4642 4642 0
4643 4643 0
4653 4653 0
4654 4654 0
4655 4655 0
4656 4656 0
4657 4657 0
4658 4658 0
4659 4659 0
4668 4668 0
4669 4669 0
4670 4670 0
4671 4671 0
4672 4672 0
4673 4673 0
4683 4683 0
4684 4684 0
4685 4685 0
4686 4686 0
4687 4687 0
4688 4688 0
4689 4689 0
4698 4698 0
4699 4699 0
4700 4700 0
4701 4701 0
4702 4702 0
4703 4703 0
4704 4704 0
4714 4714 0
4715 4715 0
4716 4716 0
4717 4717 0
4718 4718 0
4729 4729 0
4730 4730 0
4731 4731 0
4732 4732 0
4733 4733 0
4743 4743 0
4744 4744 0
4745 4745 0
4746 4746 0
4747 4747 0
4748 4748 0
4749 4749 0
4758 4758 0
4759 4759 0
4760 4760 0
4761 4761 0
4762 4762 0
4763 4763 0
4764 4764 0
4774 4774 0
4775 4775 0
4776 4776 0
4777 4777 0
4778 4778 0
4779 4779 0
4789 4789 0
4790 4790 0
4791 4791 0
4792 4792 0
4793 4793 0
4794 4794 0
4803 4803 0
4804 4804 0
4805 4805 0
4806 4806 0
4807 4807 0
4808 4808 0
4809 4809 0
4818 4818 0
4819 4819 0
4820 4820 0
4821 4821 0
4822 4822 0
4823 4823 0
4833 4833 0
4834 4834 0
4835 4835 0
4836 4836 0
4837 4837 0
4838 4838 0
4848 4848 0
4849 4849 0
4850 4850 0
4851 4851 0
4852 4852 0
4853 4853 0
4854 4854 0
4864 4864 0
4865 4865 0
4866 4866 0
4867 4867 0
4868 4868 0
4879 4879 0
4880 4880 0
4881 4881 0
4882 4882 0
4883 4883 0
4894 4894 0
4895 4895 0
4896 4896 0
4897 4897 0
4898 4898 0
4909 4909 0
4910 4910 0
4911 4911 0
4912 4912 0
4913 4913 0
4924 4924 0
4925 4925 0
4926 4926 0
4927 4927 0
4928 4928 0
4940 4940 0
4941 4941 0
4942 4942 0
4943 4943 0
4955 4955 0
4956 4956 0
4957 4957 0
4958 4958 0
4959 4959 0
4969 4969 0
4970 4970 0
4971 4971 0
4972 4972 0
4973 4973 0
4984 4984 0
4985 4985 0
4986 4986 0
4987 4987 0
4999 4999 0
5000 5000 0
5001 5001 0
5002 5002 0
5013 5013 0
5014 5014 0
5015 5015 0
5016 5016 0
5017 5017 0
5029 5029 0
5030 5030 0
5031 5031 0
5032 5032 0
5033 5033 0
5044 5044 0
5045 5045 0
5046 5046 0
5047 5047 0
5048 5048 0
5059 5059 0
5061 5061 0
5062 5062 0
5074 5074 0
5075 5075 0
5076 5076 0
5077 5077 0
5089 5089 0
5090 5090 0
5091 5091 0
5092 5092 0
5105 5105 0
5107 5107 0
5120 5120 0
5121 5121 0
5122 5122 0
5123 5123 0
5135 5135 0
5136 5136 0
5137 5137 0
5150 5150 0
5151 5151 0
5152 5152 0
5164 5164 0
5165 5165 0
5166 5166 0
5167 5167 0
5168 5168 0
5179 5179 0
5180 5180 0
5181 5181 0
5182 5182 0
5194 5194 0
5195 5195 0
5196 5196 0
5197 5197 0
5210 5210 0
5211 5211 0
5224 5224 0
5225 5225 0
5226 5226 0
5227 5227 0
5239 5239 0
5240 5240 0
5241 5241 0
5242 5242 0
5254 5254 0
5255 5255 0
5256 5256 0
5257 5257 0
5269 5269 0
5270 5270 0
5271 5271 0
5272 5272 0
5285 5285 0
5286 5286 0
5287 5287 0
5288 5288 0
5300 5300 0
5301 5301 0
5315 5315 0
5316 5316 0
5317 5317 0
5330 5330 0
5331 5331 0
5332 5332 0
5344 5344 0
5345 5345 0
5346 5346 0
5347 5347 0
5360 5360 0
5374 5374 0
5375 5375 0
5390 5390 0
5391 5391 0
5404 5404 0
5405 5405 0
5406 5406 0
5420 5420 0
5421 5421 0
5435 5435 0
5450 5450 0
5451 5451 0
5465 5465 0
5466 5466 0
5480 5480 0
5481 5481 0
456 457 0.2
456 471 0.2
457 472 -0.14285714285714285
471 472 -14.069122360687604
486 487 -0.5
486 501 -0.5
487 502 -0.07692307692307693
501 502 -14.069122360687604
517 518 0.5
517 532 0.3333333333333333
531 532 -14.069122360687604
518 533 0.3333333333333333
532 533 -14.069122360687604
546 547 -14.069122360687604
547 562 0.2
562 563 -14.069122360687604
576 577 -14.069122360687604
577 578 0.5
576 591 0.2
577 592 0.2
591 592 -14.069122360687604
578 593 -0.3333333333333333
592 593 -14.069122360687604
593 594 -14.069122360687604
606 607 -14.069122360687604
607 608 0.3333333333333333
608 609 -14.069122360687604
606 621 0.25
607 622 0.25
621 622 -14.069122360687604
608 623 -0.25
622 623 -14.069122360687604
636 637 -14.069122360687604
637 638 -14.069122360687604
638 639 -14.069122360687604
636 651 0.2
637 652 0.2
651 652 -14.069122360687604
638 653 0.2
652 653 -14.069122360687604
666 667 -14.069122360687604
667 668 -14.069122360687604
666 681 0.16666666666666666
667 682 0.16666666666666666
681 682 -14.069122360687604
668 683 0.16666666666666666
682 683 -14.069122360687604
696 697 -14.069122360687604
697 698 -14.069122360687604
698 699 -14.069122360687604
699 700 -14.069122360687604
696 711 -0.1111111111111111
697 712 -0.1111111111111111
711 712 -14.069122360687604
698 713 -0.1111111111111111
712 713 -14.069122360687604
699 714 -0.1111111111111111
713 714 -14.069122360687604
700 715 -0.1111111111111111
714 715 -14.069122360687604
726 727 0.3333333333333333
727 728 -0.5
726 741 -0.3333333333333333
727 742 0.5
741 742 -14.069122360687604
728 743 -0.5
742 743 -14.069122360687604
743 744 -14.069122360687604
744 745 -14.069122360687604
756 757 -14.069122360687604
757 758 -14.069122360687604
758 759 -14.069122360687604
756 771 -0.125
757 772 -0.125
771 772 -14.069122360687604
758 773 -0.125
772 773 -14.069122360687604
759 774 -0.125
773 774 -14.069122360687604
774 775 -14.069122360687604
786 787 -14.069122360687604
787 788 -14.069122360687604
786 801 0.2
800 801 -14.069122360687604
787 802 0.2
801 802 -14.069122360687604
788 803 0.2
802 803 -14.069122360687604
803 804 -14.069122360687604
815 816 -14.069122360687604
816 817 -14.069122360687604
817 818 -14.069122360687604
818 819 -14.069122360687604
819 820 -14.069122360687604
820 821 0.5
815 830 -0.1111111111111111
816 831 -0.1111111111111111
830 831 -14.069122360687604
817 832 -0.1111111111111111
831 832 -14.069122360687604
818 833 -0.1111111111111111
832 833 -14.069122360687604
819 834 -0.1111111111111111
833 834 -14.069122360687604
820 835 -0.1111111111111111
834 835 -14.069122360687604
821 836 0.3333333333333333
835 836 -14.069122360687604
836 837 -14.069122360687604
845 846 -14.069122360687604
846 847 -14.069122360687604
847 848 -14.069122360687604
848 849 -14.069122360687604
849 850 -14.069122360687604
850 851 -14.069122360687604
845 860 0.1
846 861 0.1
860 861 -14.069122360687604
847 862 0.1
861 862 -14.069122360687604
848 863 0.1
862 863 -14.069122360687604
849 864 0.1
863 864 -14.069122360687604
850 865 0.1
864 865 -14.069122360687604
851 866 0.1
865 866 -14.069122360687604
875 876 -14.069122360687604
876 877 -14.069122360687604
877 878 -14.069122360687604
878 879 -14.069122360687604
879 880 -14.069122360687604
880 881 -14.069122360687604
881 882 -14.069122360687604
875 890 -0.5
876 891 -0.0625
890 891 -1
877 892 -0.0625
891 892 -14.069122360687604
878 893 -0.0625
892 893 -14.069122360687604
879 894 -0.0625
893 894 -14.069122360687604
880 895 -0.0625
894 895 -14.069122360687604
881 896 -0.0625
895 896 -14.069122360687604
906 907 -14.069122360687604
907 908 -14.069122360687604
908 909 -14.069122360687604
909 910 -14.069122360687604
910 911 -14.069122360687604
906 921 0.14285714285714285
907 922 0.14285714285714285
921 922 -14.069122360687604
908 923 0.14285714285714285
922 923 -14.069122360687604
909 924 0.14285714285714285
923 924 -14.069122360687604
910 925 0.14285714285714285
924 925 -14.069122360687604
911 926 0.14285714285714285
925 926 -14.069122360687604
926 927 -14.069122360687604
936 937 -14.069122360687604
937 938 -14.069122360687604
938 939 -14.069122360687604
939 940 0.5
940 941 0.5
941 942 -0.5
942 943 -14.069122360687604
936 951 -0.2
950 951 -14.069122360687604
937 952 -0.2
951 952 -14.069122360687604
938 953 -0.2
952 953 -14.069122360687604
939 954 -0.2
953 954 -14.069122360687604
940 955 0.5
954 955 -14.069122360687604
941 956 -0.3333333333333333
955 956 -14.069122360687604
942 957 0.16666666666666666
956 957 -14.069122360687604
943 958 0.16666666666666666
957 958 -14.069122360687604
965 966 -14.069122360687604
966 967 -14.069122360687604
967 968 -14.069122360687604
968 969 -14.069122360687604
969 970 -14.069122360687604
970 971 -14.069122360687604
971 972 -14.069122360687604
972 973 -0.3333333333333333
965 980 -0.16666666666666666
966 981 -0.16666666666666666
980 981 -14.069122360687604
967 982 -0.16666666666666666
981 982 -14.069122360687604
968 983 -0.16666666666666666
982 983 -14.069122360687604
969 984 -0.16666666666666666
983 984 -14.069122360687604
970 985 -0.5
984 985 0.5
971 986 0.5
985 986 -0.5
994 995 -14.069122360687604
995 996 -14.069122360687604
996 997 -14.069122360687604
997 998 -14.069122360687604
998 999 -14.069122360687604
999 1000 -14.069122360687604
1000 1001 -14.069122360687604
1001 1002 -14.069122360687604
1002 1003 -14.069122360687604
994 1009 0.07692307692307693
995 1010 0.07692307692307693
1009 1010 -14.069122360687604
996 1011 0.07692307692307693
1010 1011 -14.069122360687604
997 1012 0.07692307692307693
1011 1012 -14.069122360687604
998 1013 0.07692307692307693
1012 1013 -14.069122360687604
999 1014 0.07692307692307693
1013 1014 -14.069122360687604
1000 1015 0.07692307692307693
1014 1015 -14.069122360687604
1001 1016 0.07692307692307693
1015 1016 -14.069122360687604
1002 1017 0.07692307692307693
1016 1017 -14.069122360687604
1003 1018 0.07692307692307693
1017 1018 -14.069122360687604
1024 1025 -14.069122360687604
1025 1026 -14.069122360687604
1026 1027 -14.069122360687604
1027 1028 -14.069122360687604
1028 1029 -14.069122360687604
1029 1030 -14.069122360687604
1030 1031 -14.069122360687604
1031 1032 -14.069122360687604
1032 1033 -14.069122360687604
1025 1040 -0.09090909090909091
1026 1041 -0.09090909090909091
1040 1041 -14.069122360687604
1027 1042 -0.09090909090909091
1041 1042 -14.069122360687604
1028 1043 -0.09090909090909091
1042 1043 -14.069122360687604
1029 1044 -0.09090909090909091
1043 1044 -14.069122360687604
1030 1045 -0.09090909090909091
1044 1045 -14.069122360687604
1031 1046 -0.09090909090909091
1045 1046 -14.069122360687604
1032 1047 -0.09090909090909091
1046 1047 -14.069122360687604
1033 1048 -0.09090909090909091
1047 1048 -14.069122360687604
1055 1056 -14.069122360687604
1056 1057 -14.069122360687604
1057 1058 -14.069122360687604
1058 1059 -14.069122360687604
1059 1060 -14.069122360687604
1060 1061 -14.069122360687604
1061 1062 -14.069122360687604
1062 1063 -14.069122360687604
1055 1070 0.08333333333333333
1056 1071 0.08333333333333333
1070 1071 -14.069122360687604
1057 1072 0.08333333333333333
1071 1072 -14.069122360687604
1058 1073 0.08333333333333333
1072 1073 -14.069122360687604
1059 1074 0.08333333333333333
1073 1074 -14.069122360687604
1060 1075 0.08333333333333333
1074 1075 -14.069122360687604
1061 1076 0.08333333333333333
1075 1076 -14.069122360687604
1062 1077 0.08333333333333333
1076 1077 -14.069122360687604
1063 1078 0.3333333333333333
1077 1078 -0.5
1085 1086 -14.069122360687604
1086 1087 -14.069122360687604
1087 1088 -14.069122360687604
1088 1089 -14.069122360687604
1089 1090 -14.069122360687604
1090 1091 -14.069122360687604
1091 1092 -14.069122360687604
1092 1093 -14.069122360687604
1093 1094 1
1085 1100 0.25
1086 1101 -0.1111111111111111
1100 1101 -0.5
1087 1102 -0.1111111111111111
1101 1102 -14.069122360687604
1088 1103 -0.1111111111111111
1102 1103 -14.069122360687604
1089 1104 -0.1111111111111111
1103 1104 -14.069122360687604
1090 1105 -0.1111111111111111
1104 1105 -14.069122360687604
1091 1106 -0.1111111111111111
1105 1106 -14.069122360687604
1092 1107 -0.1111111111111111
1106 1107 -14.069122360687604
1093 1108 -0.1111111111111111
1107 1108 -14.069122360687604
1115 1116 -14.069122360687604
1116 1117 -14.069122360687604
1117 1118 -14.069122360687604
1118 1119 -14.069122360687604
1119 1120 -14.069122360687604
1120 1121 -14.069122360687604
1121 1122 -14.069122360687604
1122 1123 -14.069122360687604
